#timestamp [ns], position.x [m], position.y [m], position.z [m], quaternion.w [], quaternion.x [], qquaternion.y [], quaternion.z []
0000000007499999999,2.46065998,-0.270502001,1.33579504,0.72022593,0.692447066,0.0395380035,0.0151150012
0000000007549999999,2.46400905,-0.230147004,1.33124495,0.720077634,0.692475319,0.039757017,0.0196440089
0000000007599999999,2.46755004,-0.188823998,1.32857394,0.719149113,0.693110883,0.0419219919,0.0257729962
0000000007649999999,2.47062898,-0.146515995,1.32893705,0.720379889,0.691209078,0.0459910035,0.034172006
0000000007699999999,2.4728229,-0.103330001,1.33321095,0.720549047,0.690002918,0.054553993,0.0415789969
0000000007749999999,2.47318101,-0.0615929998,1.33836997,0.719078481,0.689761519,0.0664049536,0.0523919649
0000000007799999999,2.47021198,-0.022256,1.34266901,0.717356503,0.688587427,0.0779070556,0.0719590411
0000000007849999999,2.46417904,0.0172060002,1.346668,0.716942728,0.684549272,0.0977680385,0.0884720385
0000000007899999999,2.45468092,0.0553940013,1.35096705,0.716486752,0.678992212,0.120984048,0.104783036
0000000007949999999,2.44266009,0.0898590013,1.35389602,0.718607485,0.66990453,0.139933914,0.123486906
0000000007999999999,2.42920208,0.122097,1.35487199,0.719674647,0.661180377,0.150228068,0.149469078
0000000008049999999,2.41512203,0.154999003,1.35199106,0.720231712,0.65344727,0.163906053,0.165554076
0000000008099999999,2.39928389,0.189351007,1.34704304,0.719447017,0.647496104,0.176479757,0.178880751
0000000008149999999,2.38193202,0.223821998,1.34119701,0.719027519,0.641617537,0.188587844,0.189103872
0000000008199999999,2.36349511,0.258590013,1.33596504,0.718323112,0.63704288,0.196586967,0.198850989
0000000008249999999,2.34427404,0.293058991,1.33254099,0.716914833,0.634275198,0.200560033,0.208576068
0000000008299999999,2.32461905,0.327367008,1.33176196,0.71559906,0.633231938,0.200501978,0.21618098
0000000008349999999,2.30395007,0.361497998,1.334355,0.715790689,0.631720304,0.201394081,0.219121069
0000000008399999999,2.28329396,0.394585997,1.33882296,0.717793107,0.629999995,0.199575678,0.21918267
0000000008449999999,2.26358294,0.425617993,1.342749,0.72061348,0.626940668,0.19567287,0.222200871
0000000008499999999,2.24521804,0.457415015,1.34688604,0.719891489,0.626414478,0.199374169,0.222737163
